isInterpolated,useMicroData,CountryCode,CountryName,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr.mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
0,1,COL,Colombia,LAC,N,2013,2013,Y,1196.955,1.9,435.5436,0.0612173,0.02484935,0.01532728,0.03539368,0.5348782,256.0644,0.579108,-1,47.342981,COL_N2013Y,0.01087,0.02263,0.03166,0.04124,0.05248,0.06597,0.08436,0.1111,0.1603,0.4194
0,1,COM,Comoros,SSA,N,2013,2013,X,220.5725,1.9,178.7118,0.1767289,0.06295632,0.03015592,0.08966622,0.4499239,122.1159,0.3603037,-1,0.7415,COM_N2013X,0.01595,0.02873,0.04031,0.05272,0.06325,0.07692,0.09795,0.1235,0.1667,0.3339
0,1,ZAR,"Congo, Democratic Republic of",SSA,N,2013,2012.4,X,537.7323,1.9,47.16472,0.7592164,0.3808252,0.2307952,0.624064,0.4209971,33.98304,0.3026011,-1,71.316033,ZAR_N2012X,0.0209,0.03449,0.04473,0.05511,0.06602,0.07885,0.0961,0.1201,0.1637,0.3199
0,1,COG,"Congo, Republic of",SSA,N,2013,2011,X,296.5003,1.9,119.7365,0.3637151,0.1443076,0.07508081,0.2141692,0.4893882,77.72243,0.4222752,-1,4.751393,COG_N2011X,0.0156,0.02635,0.03572,0.04654,0.05901,0.07269,0.09012,0.1166,0.1581,0.3793
0,1,CRI,Costa Rica,LAC,N,2013,2013,Y,343.7857,1.9,678.9598,0.01684188,0.005985443,0.003510814,0.008354474,0.4917569,421.1466,0.4396274,-1,4.706401,CRI_N2013Y,0.0145,0.02671,0.03643,0.0457,0.05629,0.06927,0.08821,0.1189,0.1712,0.3728
1,1,CIV,Cote d'Ivoire,SSA,N,2013,,X,235.6879,1.9,111.4819,0.3190583,0.1084266,0.05257481,0.1570638,-1,-1,-1,-1,21.966312,CIV_N2008X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,HRV,Croatia,ECA,N,2013,2013,Y,4.358503,1.9,516.8003,0.007462928,0.004598469,0.003360711,0.0110782,0.3199751,453.6454,0.1924026,-1,4.255689,HRV_N2013Y,0.0255,0.04523,0.05763,0.07001,0.08159,0.09367,0.1089,0.1269,0.1538,0.2368
0,1,CYP,Cyprus,OHI,N,2013,2013,Y,0.7115528,1.9,813.2748,0.002452543,0.000454965,8.44E-05,0.000503237,0.3703979,614.7584,0.2315322,-1,1.143896,CYP_N2013Y,0.03153,0.04523,0.05324,0.06083,0.07001,0.08117,0.09425,0.1124,0.143,0.3084
0,1,CZE,Czech Republic,ECA,N,2013,2013,Y,14.90097,1.9,805.4779,0,0,0,0,0.2647234,716.2113,0.1212886,-1,10.514272,CZE_N2013Y,0.0379,0.05665,0.06813,0.07715,0.08519,0.09304,0.1024,0.1155,0.1383,0.2257
0,1,DNK,Denmark,OHI,N,2013,2013,Y,8.523886,1.9,1563.161,0.002425605,0.002405177,0.002384921,0.01158697,0.2854036,1349.816,0.1589857,-1,5.614932,DNK_N2013Y,0.03569,0.05532,0.06479,0.07302,0.0818,0.09112,0.1019,0.1176,0.1421,0.2367
0,1,DJI,Djibouti,MNA,N,2013,2013,X,101.4806,1.9,147.667,0.2251956,0.07508803,0.03832551,0.1156465,0.4412707,106.6954,0.3495465,-1,0.896688,DJI_N2013X,0.01712,0.03209,0.04213,0.05473,0.06644,0.07913,0.09415,0.1146,0.1587,0.341
0,1,DOM,Dominican Republic,LAC,N,2013,2013,Y,20.74103,1.9,377.0347,0.02324189,0.005617953,0.002069036,0.007191957,0.4707157,246.3053,0.3782896,-1,10.281296,DOM_N2013Y,0.01903,0.03031,0.03935,0.04875,0.05964,0.07218,0.08822,0.1114,0.157,0.3741
0,1,ECU,Ecuador,LAC,N,2013,2013,Y,0.5472345,1.9,360.3627,0.04427668,0.01717036,0.01053928,0.01829794,0.4728902,238.3012,0.4184484,-1,15.661547,ECU_N2013Y,0.01589,0.02969,0.03922,0.04875,0.05973,0.07342,0.09077,0.1154,0.1618,0.3653
1,1,EGY,"Egypt, Arab Republic of",MNA,N,2013,,X,2.777,1.9,163.2178,0.02144696,0.003303385,0.000795791,0.003816171,-1,-1,-1,-1,89.807433,EGY_N2012X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,SLV,El Salvador,LAC,N,2013,2013,Y,0.5307735,1.9,308.4389,0.03248015,0.007413513,0.002651468,0.009283336,0.4351237,218.8169,0.3258306,-1,6.250777,SLV_N2013Y,0.02106,0.03414,0.04396,0.05416,0.06509,0.0769,0.09262,0.1142,0.1544,0.3435
0,1,EST,Estonia,ECA,N,2013,2013,Y,0.6085634,1.9,766.744,0.009789301,0.006151731,0.005152773,0.007889549,0.3507902,606.6539,0.2328022,-1,1.317997,EST_N2013Y,0.02361,0.04449,0.05684,0.06543,0.0735,0.08599,0.1023,0.1235,0.1586,0.2658
0,1,ETH,Ethiopia,SSA,N,2013,2010.5,X,5.438614,1.9,103.8012,0.2164885,0.0560942,0.02204142,0.07334953,0.3316958,84.68441,0.1870933,-1,94.887724,ETH_N2010X,0.0318,0.04846,0.05862,0.06749,0.07684,0.08661,0.09835,0.1151,0.1427,0.274
0,1,FJI,Fiji,EAP,N,2013,2013,X,1.216541,1.9,222.94,0.01464605,0.00225143,0.000582334,0.002638608,0.3639797,168.4919,0.2174223,-1,0.879715,FJI_N2013X,0.03163,0.04413,0.05285,0.06126,0.07042,0.0818,0.09652,0.1171,0.1499,0.2944
0,1,FIN,Finland,OHI,N,2013,2013,Y,0.9802463,1.9,1495.603,0,0,0,0,0.2719225,1306.52,0.1256493,-1,5.438972,FIN_N2013Y,0.03814,0.055,0.06556,0.07414,0.08266,0.09281,0.1051,0.1205,0.1438,0.2223
0,1,FRA,France,OHI,N,2013,2013,Y,0.8797541,1.9,1582.381,0,0,0,0,0.3251057,1310.208,0.1795303,-1,65.99857,FRA_N2013Y,0.03211,0.04793,0.05884,0.06852,0.07766,0.08802,0.1007,0.1175,0.1451,0.2636
